HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458826.81954,2019-12-09.3208899,bG,1.71,15.324,11.390,0.007,100.936,0.641,g
2458827.77576,2019-12-10.2770843,bH,1.43,15.416,11.445,0.010,95.937,0.828,g
2458827.77705,2019-12-10.2783700,bH,1.39,15.420,11.423,0.009,97.960,0.850,g
2458827.77833,2019-12-10.2796532,bH,1.43,15.414,11.402,0.009,99.805,0.849,g
2458828.81038,2019-12-11.3116626,bG,1.51,15.257,11.425,0.007,97.715,0.697,g
2458828.81164,2019-12-11.3129188,bG,1.50,15.198,11.393,0.009,100.644,0.794,g
2458828.81291,2019-12-11.3141950,bG,1.53,15.248,11.453,0.008,95.284,0.675,g
2458829.49578,2019-12-11.9970526,bp,1.97,15.235,11.386,0.007,101.366,0.697,g
2458829.49701,2019-12-11.9982800,bp,1.51,15.224,11.410,0.007,99.147,0.681,g
2458829.49824,2019-12-11.9995003,bp,1.51,15.270,11.373,0.007,102.510,0.683,g
2458829.75351,2019-12-12.2547630,bH,1.99,15.228,11.412,0.009,98.874,0.853,g
2458829.75475,2019-12-12.2560092,bH,2.00,15.222,11.406,0.008,99.469,0.725,g
2458829.75603,2019-12-12.2572846,bH,1.96,15.161,11.406,0.009,99.535,0.798,g
2458830.49249,2019-12-12.9937298,bp,1.47,15.300,11.388,0.007,101.169,0.665,g
2458830.49371,2019-12-12.9949449,bp,1.52,15.301,11.404,0.007,99.652,0.687,g
2458830.49492,2019-12-12.9961664,bp,1.54,15.316,11.393,0.007,100.728,0.649,g
2458830.75097,2019-12-13.2521954,bH,1.46,15.291,11.408,0.008,99.238,0.732,g
2458831.80014,2019-12-14.3013321,bH,1.46,15.348,11.400,0.007,100.041,0.634,g
2458831.80140,2019-12-14.3025921,bH,1.43,15.371,11.390,0.007,100.906,0.602,g
2458831.80267,2019-12-14.3038673,bH,1.46,15.366,11.414,0.008,98.734,0.678,g
2458832.76295,2019-12-15.2641237,bG,1.58,15.219,11.396,0.007,100.341,0.714,g
2458832.76423,2019-12-15.2653947,bG,1.97,15.176,11.385,0.008,101.446,0.695,g
2458832.76550,2019-12-15.2666690,bG,1.59,15.185,11.380,0.008,101.836,0.668,g
2458833.83885,2019-12-16.3399974,bl,1.47,15.318,11.391,0.008,100.840,0.706,g
2458833.84008,2019-12-16.3412203,bl,1.40,15.321,11.385,0.007,101.386,0.672,g
2458833.84130,2019-12-16.3424385,bl,1.47,15.294,11.410,0.008,99.165,0.711,g
2458833.85824,2019-12-16.3593724,bG,1.43,15.015,11.391,0.009,100.792,0.814,g
2458833.85951,2019-12-16.3606481,bG,1.50,14.948,11.406,0.010,99.436,0.896,g
2458834.85803,2019-12-17.3591307,bl,1.45,15.252,11.407,0.008,99.370,0.786,g
2458834.85926,2019-12-17.3603557,bl,1.49,15.254,11.408,0.008,99.270,0.776,g
2458835.73573,2019-12-18.2368098,bH,1.41,15.448,11.383,0.007,101.624,0.620,g
2458835.73702,2019-12-18.2380865,bH,1.43,15.454,11.405,0.006,99.508,0.601,g
2458835.73828,2019-12-18.2393495,bH,1.38,15.427,11.363,0.006,103.495,0.598,g
2458835.79687,2019-12-18.2979407,bG,1.45,15.320,11.406,0.007,99.435,0.670,g
2458836.78693,2019-12-19.2879788,bl,1.53,15.406,11.415,0.009,98.660,0.742,g
2458836.78815,2019-12-19.2891952,bl,1.53,15.391,11.411,0.009,99.020,0.771,g
2458836.78937,2019-12-19.2904116,bl,1.46,15.386,11.410,0.008,99.054,0.736,g
2458837.59526,2019-12-20.0962773,bo,1.45,15.365,11.358,0.006,103.920,0.633,g
2458837.59767,2019-12-20.0986915,bo,1.46,15.258,11.352,0.007,104.525,0.652,g
2458837.81017,2019-12-20.3111729,bl,1.46,15.403,11.389,0.007,101.038,0.678,g
2458837.81139,2019-12-20.3124041,bl,1.44,15.382,11.396,0.008,100.329,0.671,g
2458837.81262,2019-12-20.3136282,bl,1.53,15.390,11.407,0.007,99.442,0.653,g
2458838.52198,2019-12-21.0229684,bo,1.52,15.434,11.365,0.006,103.315,0.573,g
2458838.55762,2019-12-21.0586052,bp,1.50,15.491,11.364,0.006,103.404,0.561,g
2458838.55885,2019-12-21.0598328,bp,1.54,15.499,11.379,0.006,101.957,0.565,g
2458838.56006,2019-12-21.0610429,bp,1.50,15.500,11.382,0.006,101.720,0.576,g
2458838.81118,2019-12-21.3121538,bH,1.45,15.464,11.420,0.006,98.235,0.595,g
